Opole                | -0.5        | -4.8       | 79         | 1042       | 3.8        | 350        | N         
Coordinates          | -0.4        | -3.9       | 99         | 1042       | 2.9        | 352        | N         
Coordinates          | -0.4        | -3.9       | 99         | 1042       | 2.9        | 352        | N         
Coordinates          | -0.5        | -4.0       | 99         | 1042       | 2.9        | 352        | N         
Kyiv                 | -0.2        | -0.2       | 97         | 1024       | 0.4        | 262        | W         
Energodar            | 1.9         | -2.2       | 90         | 1026       | 4.4        | 120        | ESE       
Odesa                | 5.1         | 1.5        | 94         | 1022       | 4.9        | 121        | ESE       
Coordinates          | 0.7         | 0.7        | 34         | 1019       | 1.3        | 263        | W         
Coordinates          | 7.9         | 4.2        | 95         | 1003       | 7.1        | 177        | S         
Opole                | 7.8         | 4.2        | 74         | 1004       | 6.6        | 186        | S         
